web-scraper-order,web-scraper-start-url,links,links-href,picture-src,name,old price,new price,discount,model_number,model name,series,color,type,suitable for,cpu brand,cpu name,cpu generation ,ssd capacity,ram capacity ,ram type,gpu processor,os system,usb port,screen size,screen resolution,screen type,speaker,mic,wireless LAN ,bluetooth,weight,webcam,warranty ,rating,rating performance,rating battery ,rating design,rating display 
"1715371183-44","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Travelmate Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) TMP214-53 Thin and ...3.828 Ratings & 5 ReviewsIntel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty₹39,989₹72,30044% offFree deliveryOnly 1 leftBank Offer","https://www.flipkart.com/acer-travelmate-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-tmp214-53-thin-light-laptop/p/itmdbe4e91977aa1?pid=COMGU2D9J8QDJRVG&lid=LSTCOMGU2D9J8QDJRVGQ12EJM&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_9&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGU2D9J8QDJRVG.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/i/h/g/-original-imagu85ducxdrmeu.jpeg?q=70&crop=false","Acer Travelmate Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) TMP214-53 Thin and Light Laptop  (14 inch, Black, 1.59 Kg)","₹72,300","₹39,989","44% off","TMP214-53","TMP214-53","Travelmate","Black","Thin and Light Laptop","Processing & Multitasking","Intel","Core i5","11th Gen","512 GB","16 GB","DDR4","Intel Integrated Iris Xe","Windows 11 Home","2x USB 3.2 Gen 1 Type A, 1x USB 3.2 Gen 1 Type C, 1 x USB 3.2 Gen 1 port with power-off charging","35.56 cm (14 inch)","1920 X 1080 Pixel","Full HD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","Yes","1.59 Kg","HD webcam with Privacy Camera Physical Shutter","1 Year Onsite Warranty","3.8","3.4","3.2","3.1","3.2"
"1715371183-45","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Travelmate Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) TMP214-53 Thin and ...3.828 Ratings & 5 ReviewsIntel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty₹39,989₹72,30044% offFree deliveryOnly 1 leftBank Offer","https://www.flipkart.com/acer-travelmate-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-tmp214-53-thin-light-laptop/p/itmdbe4e91977aa1?pid=COMGU2D9J8QDJRVG&lid=LSTCOMGU2D9J8QDJRVGQ12EJM&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_9&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGU2D9J8QDJRVG.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/i/h/g/-original-imagu85ducxdrmeu.jpeg?q=70&crop=false","Acer Travelmate Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) TMP214-53 Thin and Light Laptop  (14 inch, Black, 1.59 Kg)","₹72,300","₹39,989","44% off","TMP214-53","TMP214-53","Travelmate","Black","Thin and Light Laptop","Processing & Multitasking","Intel","Core i5","11th Gen","512 GB","16 GB","DDR4","Intel Integrated Iris Xe","Windows 11 Home","2x USB 3.2 Gen 1 Type A, 1x USB 3.2 Gen 1 Type C, 1 x USB 3.2 Gen 1 port with power-off charging","35.56 cm (14 inch)","1920 X 1080 Pixel","Full HD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","Yes","1.59 Kg","HD webcam with Privacy Camera Physical Shutter","1 Year Onsite Warranty","28 Ratings &","3.4","3.2","3.1","3.2"
"1715371183-46","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Travelmate Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) TMP214-53 Thin and ...3.828 Ratings & 5 ReviewsIntel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty₹39,989₹72,30044% offFree deliveryOnly 1 leftBank Offer","https://www.flipkart.com/acer-travelmate-intel-core-i5-11th-gen-1135g7-16-gb-512-gb-ssd-windows-11-home-tmp214-53-thin-light-laptop/p/itmdbe4e91977aa1?pid=COMGU2D9J8QDJRVG&lid=LSTCOMGU2D9J8QDJRVGQ12EJM&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_9&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGU2D9J8QDJRVG.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/i/h/g/-original-imagu85ducxdrmeu.jpeg?q=70&crop=false","Acer Travelmate Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) TMP214-53 Thin and Light Laptop  (14 inch, Black, 1.59 Kg)","₹72,300","₹39,989","44% off","TMP214-53","TMP214-53","Travelmate","Black","Thin and Light Laptop","Processing & Multitasking","Intel","Core i5","11th Gen","512 GB","16 GB","DDR4","Intel Integrated Iris Xe","Windows 11 Home","2x USB 3.2 Gen 1 Type A, 1x USB 3.2 Gen 1 Type C, 1 x USB 3.2 Gen 1 port with power-off charging","35.56 cm (14 inch)","1920 X 1080 Pixel","Full HD","Yes","Yes","802.11a/b/g/n/acR2+ax wireless LAN","Yes","1.59 Kg","HD webcam with Privacy Camera Physical Shutter","1 Year Onsite Warranty","5 Reviews","3.4","3.2","3.1","3.2"
"1715371188-47","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...4.3178 Ratings & 22 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW)₹56,990₹79,99928% offFree deliveryLowest price since launchUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-nitro-v-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-anv15-51-549b-gaming-laptop/p/itm7f47abb013fde?pid=COMGTDRHU4RPFHXN&lid=LSTCOMGTDRHU4RPFHXN1O2KX3&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_8&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGTDRHU4RPFHXN.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/d/w/x/anv15-51-gaming-laptop-acer-original-imagtkaqg3qxh6sh.jpeg?q=70&crop=false","Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) ANV15-51-549B Gaming Laptop  (15.6 Inch, Obsidian Black, 2.1 Kg)","₹79,999","₹56,990","28% off","ANV15-51-549B","ANV15-51","Nitro V","Obsidian Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 2050","Windows 11 Home","2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C port with (Thunderbolt 4)","39.62 cm (15.6 Inch)","1920 X 1080 Pixel","Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly","","","Wi-Fi 6E AX201 Wireless LAN","v5.1","2.1 Kg","UFC with T-Type HD camera with Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic","1 Year International Travelers Warranty (ITW)","4.3","4.5","3.9","4.5","4.1"
"1715371188-48","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...4.3178 Ratings & 22 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW)₹56,990₹79,99928% offFree deliveryLowest price since launchUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-nitro-v-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-anv15-51-549b-gaming-laptop/p/itm7f47abb013fde?pid=COMGTDRHU4RPFHXN&lid=LSTCOMGTDRHU4RPFHXN1O2KX3&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_8&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGTDRHU4RPFHXN.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/d/w/x/anv15-51-gaming-laptop-acer-original-imagtkaqg3qxh6sh.jpeg?q=70&crop=false","Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) ANV15-51-549B Gaming Laptop  (15.6 Inch, Obsidian Black, 2.1 Kg)","₹79,999","₹56,990","28% off","ANV15-51-549B","ANV15-51","Nitro V","Obsidian Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 2050","Windows 11 Home","2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C port with (Thunderbolt 4)","39.62 cm (15.6 Inch)","1920 X 1080 Pixel","Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly","","","Wi-Fi 6E AX201 Wireless LAN","v5.1","2.1 Kg","UFC with T-Type HD camera with Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic","1 Year International Travelers Warranty (ITW)","178 Ratings &","4.5","3.9","4.5","4.1"
"1715371188-49","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...4.3178 Ratings & 22 ReviewsIntel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW)₹56,990₹79,99928% offFree deliveryLowest price since launchUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-nitro-v-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-anv15-51-549b-gaming-laptop/p/itm7f47abb013fde?pid=COMGTDRHU4RPFHXN&lid=LSTCOMGTDRHU4RPFHXN1O2KX3&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_8&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGTDRHU4RPFHXN.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/d/w/x/anv15-51-gaming-laptop-acer-original-imagtkaqg3qxh6sh.jpeg?q=70&crop=false","Acer Nitro V Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) ANV15-51-549B Gaming Laptop  (15.6 Inch, Obsidian Black, 2.1 Kg)","₹79,999","₹56,990","28% off","ANV15-51-549B","ANV15-51","Nitro V","Obsidian Black","Gaming Laptop","Gaming","Intel","Core i5","13th Gen","512 GB","","DDR5","NVIDIA GeForce RTX 2050","Windows 11 Home","2 x USB 3.2 Gen 1 port, 1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB Type-C port with (Thunderbolt 4)","39.62 cm (15.6 Inch)","1920 X 1080 Pixel","Full HD display with IPS (In-Plane Switching) technology, Acer ComfyView LED-backlit TFT LCD, 16:9 aspect ratio, supporting 144 Hz refresh rate. Wide viewing angle up to 170 degrees, Ultra-slim design, Mercury free, environment friendly","","","Wi-Fi 6E AX201 Wireless LAN","v5.1","2.1 Kg","UFC with T-Type HD camera with Blue Glass lens with 1280 x 720 resolution and 720p HD video at 30 fps with Temporal Noise Reduction with Dual Mic","1 Year International Travelers Warranty (ITW)","22 Reviews","4.5","3.9","4.5","4.1"
"1715371194-50","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 Intel Core i5 12th Gen 12350U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-50CP Thin and ...4611 Ratings & 48 ReviewsIntel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year International Travelers Warranty (ITW)₹38,990₹51,99925% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-3-intel-core-i5-12th-gen-12350u-8-gb-512-gb-ssd-windows-11-home-a315-59-50cp-thin-light-laptop/p/itmb8e9fbe22f575?pid=COMGHR2J6FPYX8CB&lid=LSTCOMGHR2J6FPYX8CBKIAUH1&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_7&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGHR2J6FPYX8CB.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/x/l/-original-imagqbud3jqmhdet.jpeg?q=70&crop=false","Acer Aspire 3 Intel Core i5 12th Gen 12350U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-50CP Thin and Light Laptop  (15.6 inch, Pure Silver, 1.7 Kg)","₹51,999","₹38,990","25% off","A315-59-50CP","Aspire 3","Aspire 3","Pure Silver","Thin and Light Laptop","Entertainment, Performance, Processing & Multitasking","Intel","Core i5","12th Gen","512 GB","8 GB","DDR4","Intel Integrated Iris Xe Graphics","Windows 11 Home","3 x USB 3.2 Gen 1 Port","39.62 cm (15.6 inch)","1920 x 1080 Pixels","","","","802.11a/b/g/n/ac wireless LAN","v5.0","1.7 Kg","1280 x 720 Resolution, 720p HD video at 30fps","1 Year International Travelers Warranty (ITW)","4","3.9","3.6","3.9","3.7"
"1715371194-51","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 Intel Core i5 12th Gen 12350U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-50CP Thin and ...4611 Ratings & 48 ReviewsIntel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year International Travelers Warranty (ITW)₹38,990₹51,99925% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-3-intel-core-i5-12th-gen-12350u-8-gb-512-gb-ssd-windows-11-home-a315-59-50cp-thin-light-laptop/p/itmb8e9fbe22f575?pid=COMGHR2J6FPYX8CB&lid=LSTCOMGHR2J6FPYX8CBKIAUH1&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_7&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGHR2J6FPYX8CB.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/x/l/-original-imagqbud3jqmhdet.jpeg?q=70&crop=false","Acer Aspire 3 Intel Core i5 12th Gen 12350U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-50CP Thin and Light Laptop  (15.6 inch, Pure Silver, 1.7 Kg)","₹51,999","₹38,990","25% off","A315-59-50CP","Aspire 3","Aspire 3","Pure Silver","Thin and Light Laptop","Entertainment, Performance, Processing & Multitasking","Intel","Core i5","12th Gen","512 GB","8 GB","DDR4","Intel Integrated Iris Xe Graphics","Windows 11 Home","3 x USB 3.2 Gen 1 Port","39.62 cm (15.6 inch)","1920 x 1080 Pixels","","","","802.11a/b/g/n/ac wireless LAN","v5.0","1.7 Kg","1280 x 720 Resolution, 720p HD video at 30fps","1 Year International Travelers Warranty (ITW)","611 Ratings &","3.9","3.6","3.9","3.7"
"1715371194-52","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 Intel Core i5 12th Gen 12350U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-50CP Thin and ...4611 Ratings & 48 ReviewsIntel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year International Travelers Warranty (ITW)₹38,990₹51,99925% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-3-intel-core-i5-12th-gen-12350u-8-gb-512-gb-ssd-windows-11-home-a315-59-50cp-thin-light-laptop/p/itmb8e9fbe22f575?pid=COMGHR2J6FPYX8CB&lid=LSTCOMGHR2J6FPYX8CBKIAUH1&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_7&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGHR2J6FPYX8CB.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/x/l/-original-imagqbud3jqmhdet.jpeg?q=70&crop=false","Acer Aspire 3 Intel Core i5 12th Gen 12350U - (8 GB/512 GB SSD/Windows 11 Home) A315-59-50CP Thin and Light Laptop  (15.6 inch, Pure Silver, 1.7 Kg)","₹51,999","₹38,990","25% off","A315-59-50CP","Aspire 3","Aspire 3","Pure Silver","Thin and Light Laptop","Entertainment, Performance, Processing & Multitasking","Intel","Core i5","12th Gen","512 GB","8 GB","DDR4","Intel Integrated Iris Xe Graphics","Windows 11 Home","3 x USB 3.2 Gen 1 Port","39.62 cm (15.6 inch)","1920 x 1080 Pixels","","","","802.11a/b/g/n/ac wireless LAN","v5.0","1.7 Kg","1280 x 720 Resolution, 720p HD video at 30fps","1 Year International Travelers Warranty (ITW)","48 Reviews","3.9","3.6","3.9","3.7"
"1715371200-53","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light...4611 Ratings & 48 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty₹40,990₹51,99921% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-3-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a315-59-thin-light-laptop/p/itm9722f660b9fc6?pid=COMGMNCQ4WJFHAKQ&lid=LSTCOMGMNCQ4WJFHAKQZMVQPS&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_6&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGMNCQ4WJFHAKQ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/x/l/-original-imagqbud3jqmhdet.jpeg?q=70&crop=false","Acer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.78 Kg)","₹51,999","₹40,990","21% off","A315-59","Aspire 3","Aspire 3","Pure Silver","Thin and Light Laptop","Processing & Multitasking","Intel","Core i5","12th Gen","512 GB","16 GB","DDR4","Intel Integrated Integrated","Windows 11 Home","2 x USB 3.2 Ports","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","Full HD","Two built-in stereo speakers","","802.11a/b/g/n/ac wireless LAN","v5.0","1.78 Kg","HD","1 Year International Travelers Warranty","4","3.9","3.6","3.9","3.7"
"1715371200-54","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light...4611 Ratings & 48 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty₹40,990₹51,99921% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-3-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a315-59-thin-light-laptop/p/itm9722f660b9fc6?pid=COMGMNCQ4WJFHAKQ&lid=LSTCOMGMNCQ4WJFHAKQZMVQPS&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_6&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGMNCQ4WJFHAKQ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/x/l/-original-imagqbud3jqmhdet.jpeg?q=70&crop=false","Acer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.78 Kg)","₹51,999","₹40,990","21% off","A315-59","Aspire 3","Aspire 3","Pure Silver","Thin and Light Laptop","Processing & Multitasking","Intel","Core i5","12th Gen","512 GB","16 GB","DDR4","Intel Integrated Integrated","Windows 11 Home","2 x USB 3.2 Ports","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","Full HD","Two built-in stereo speakers","","802.11a/b/g/n/ac wireless LAN","v5.0","1.78 Kg","HD","1 Year International Travelers Warranty","611 Ratings &","3.9","3.6","3.9","3.7"
"1715371200-55","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light...4611 Ratings & 48 ReviewsIntel Core i5 Processor (12th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty₹40,990₹51,99921% offFree deliverySave extra with combo offersUpto ₹30,000 Off on Exchange","https://www.flipkart.com/acer-aspire-3-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a315-59-thin-light-laptop/p/itm9722f660b9fc6?pid=COMGMNCQ4WJFHAKQ&lid=LSTCOMGMNCQ4WJFHAKQZMVQPS&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_6&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGMNCQ4WJFHAKQ.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/a/x/l/-original-imagqbud3jqmhdet.jpeg?q=70&crop=false","Acer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.78 Kg)","₹51,999","₹40,990","21% off","A315-59","Aspire 3","Aspire 3","Pure Silver","Thin and Light Laptop","Processing & Multitasking","Intel","Core i5","12th Gen","512 GB","16 GB","DDR4","Intel Integrated Integrated","Windows 11 Home","2 x USB 3.2 Ports","39.62 cm (15.6 Inch)","1920 x 1080 Pixel","Full HD","Two built-in stereo speakers","","802.11a/b/g/n/ac wireless LAN","v5.0","1.78 Kg","HD","1 Year International Travelers Warranty","48 Reviews","3.9","3.6","3.9","3.7"
"1715371205-56","https://www.flipkart.com/computers/laptops/pr?sid=6bo,b5g&q=acer&otracker=categorytree","Add to CompareAcer Swift Go 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) SFG14-41 Notebook4.227 Ratings & 1 ReviewsAMD Ryzen 5 Hexa Core Processor8 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year International Travelers Warranty₹49,990₹70,99929% offFree deliveryUpto ₹30,000 Off on ExchangeNo Cost EMI from ₹8,332/month","https://www.flipkart.com/acer-swift-go-14-amd-ryzen-5-hexa-core-7530u-8-gb-512-gb-ssd-windows-11-home-sfg14-41-notebook/p/itmda82b9e283b1e?pid=COMGMNCQUA6YCGVT&lid=LSTCOMGMNCQUA6YCGVT4WDAEJ&marketplace=FLIPKART&q=acer&store=6bo%2Fb5g&srno=s_1_5&otracker=search&iid=af862312-a72e-47ec-832c-11cad202f955.COMGMNCQUA6YCGVT.SEARCH&ssid=4ftul3ca0g0000001715371089520&qH=e4721cdedd884fee","https://rukminim2.flixcart.com/image/416/416/xif0q/computer/p/a/a/-original-imagnc62xqsfpz7q.jpeg?q=70&crop=false","Acer Swift Go 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) SFG14-41 Notebook  (14 Inch, Pure Silver, 1.25 Kg, With MS Office)","₹70,999","₹49,990","29% off","SFG14-41","Swift Go 14","Swift Go 14","Pure Silver","Notebook","Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business","AMD","Ryzen 5 Hexa Core","","512 GB","LPDDR4X","LPDDR4X","AMD Radeon AMD","Windows 11 Home","1 x USB 2.0 port, 1 x USB 3.2 Gen 1 Port with power-off charging, 1 x USB Type-C port with DC-in","35.56 cm (14 Inch)","1920 x 1080 Pixel","Full HD","Two built-in front facing stereo speakers","","Wi-Fi 6E Wireless LAN","v5.1","1.25 Kg","HD","1 Year International Travelers Warranty","4.2","","","",""
